pairid,argid,propid_to,propid_from,text_to,text_from,relation,nli_50K_ent,nli_50K_con,nli_50K_neu
00132_3#00132_3_2,00132,00132_3,00132_3_2,All public transport should be free and paid for by the state.,"With the financial crisis, we can""t afford to spend more money on something like this.",-1,0.0021177411545068026,0.7398431301116943,0.25803911685943604
00369_12#00369_12_5,00369,00369_12,00369_12_5,"The Hijab should be banned in schools, public buildings or society in general.",Discriminating against Muslim forms of child-indoctrination is wrong,-1,0.030603798106312752,0.012661779299378395,0.9567344188690186
00369_3#00369_3_3,00369,00369_3,00369_3_3,"The Hijab should be banned in schools, public buildings or society in general.","Headscarves falsely presume that men can""t contain sexual impulses",1,0.0038263711612671614,0.7141179442405701,0.28205567598342896
00369_3#00369_3_8,00369,00369_3,00369_3_8,"The Hijab should be banned in schools, public buildings or society in general.","Head scarves aren""t about oppressing women; there are good reasons",-1,0.003296277951449156,0.8942754864692688,0.10242819786071777
00369_3#00369_3_9,00369,00369_3,00369_3_9,"The Hijab should be banned in schools, public buildings or society in general.",The idea that women must wear headscarves to be dignified is offensive,1,0.002754760906100273,0.17270515859127045,0.8245400786399841
00369_4#00369_4_5,00369,00369_4,00369_4_5,"The Hijab should be banned in schools, public buildings or society in general.",A ban violates the rights of women who freely choose to wear veils,-1,0.001158819766715169,0.03107512928545475,0.9677659869194031
00581_1#00581_1_2,00581,00581_1,00581_1_2,NGVs should be prioritized in plans to fight global warming. They are good.,NGVs can be refueled anywhere from existing natural gas lines.,1,0.0009488036157563329,0.00462133577093482,0.9944297671318054
00211_8#00211_8_12,00211,00211_8,00211_8_12,The US federal government should increase the minimum wage.,"""President Bush signaled readiness last week to consider some Democratic priorities such as a minimum-wage increase"".",1,0.040499329566955566,0.02258860506117344,0.9369121193885803
00211_8#00211_8_3,00211,00211_8,00211_8_3,The US federal government should increase the minimum wage.,Democrats tend to support raising the minimum wage and are making it majority legislative priority for the 110th Congress:,1,0.008374636992812157,0.011234210804104805,0.9803911447525024
00321_2#00321_2_4,00321,00321_2,00321_2_4,Human reproductive cloning should be banned and punishments should be leveled against it.,By the will of nature/God infertile couples are not meant to reproduce,1,0.0028691536281257868,0.010044234804809093,0.9870866537094116
00971_4#00971_4_6,00971,00971_4,00971_4_6,The state should be fully privatised.,The most efficient and consumer friendly services are provided in industries driven by free choice and the power of the buyer.,1,0.0023946180008351803,0.6519777774810791,0.34562763571739197
00038_2#00038_2_13,00038,00038_2,00038_2_13,The US should create a public insurance option and hybrid public-private health care system.,"Contradictory to argue public option bad, insurers can""t compete",1,0.0008775967871770263,0.0032797243911772966,0.9958426356315613
00737_9#00737_9_6,00737,00737_9,00737_9_6,The US should adopt a different method of electing its President.,The electoral college is undemocratic because it is not based on the popular vote:,1,0.001774501521140337,0.0009250956354662776,0.9973004460334778
00424_5#00424_5_3,00424,00424_5,00424_5_3,Governments should choose open source software in order to encourage its use.,Tech firms are frequently arriving at a legal balance and mutual understanding not to sue each other:,-1,0.004370081704109907,0.18265043199062347,0.8129794597625732
00867_1#00867_1_10,00867,00867_1,00867_1_10,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Justice of reneging AIG bonuses would be worth costs,-1,0.01678604632616043,0.7797108292579651,0.2035031020641327
00867_1#00867_1_7,00867,00867_1,00867_1_7,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,"Congress cannot punish AIG with ""laws attainder""",1,0.009209012612700462,0.10154737532138824,0.8892436623573303
00026_4#00026_4_10,00026,00026_4,00026_4_10,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Reneging AIG contracts undermines govt programs/contracts,1,0.005785866174846888,0.20806655287742615,0.7861475348472595
00026_4#00026_4_11,00026,00026_4,00026_4_11,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG bonus contracts are invalidated by taxpayer bailout,-1,0.008942138403654099,0.9223916530609131,0.06866616755723953
00026_4#00026_4_13,00026,00026_4,00026_4_13,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG bonuses would not have been possible without bailout,-1,0.03187922388315201,0.4412814676761627,0.5268393754959106
00026_4#00026_4_3,00026,00026_4,00026_4_3,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG employees turned down jobs on basis of bonus contracts,1,0.004304681438952684,0.0723949745297432,0.9233003258705139
00289_2#00289_2_3,00289,00289_2,00289_2_3,The US government should bailout US automakers (even with a low-interest loan).,Bailout deters car buyers as much as bankruptcy would.,-1,0.012075682170689106,0.0809992104768753,0.9069251418113708
00726_6#00726_6_14,00726,00726_6,00726_6_14,The US government should fund embryonic stem cell research.,"Nancy Gibbs, ""Stem Cells: the Hope and the Hype"" Time 7/30/06",-1,0.003849973902106285,0.02374717779457569,0.9724029302597046
00738_2#00738_2_4,00738,00738_2,00738_2_4,"""Date rape"" should be a lower offense than rape.","Rape is rape, regardless of whether the couple know each other, or have had sex before.",-1,0.00765887089073658,0.07286983728408813,0.9194713234901428
00201_1#00201_1_1,00201,00201_1,00201_1_1,Everyone should have to carry a national identity card.,"Identity cards are contrary to the maxim: ""the government that governs best, governs least"".",-1,0.01869877614080906,0.5447662472724915,0.43653497099876404
00879_3#00879_3_1,00879,00879_3,00879_3_1,People do have a right to self-determination.,The state borders drawn (particularly in Africa) by colonial empires took no account of native fault-lines:,1,0.01568710058927536,0.005344810429960489,0.97896808385849
00289_10#00289_10_11,00289,00289_10,00289_10_11,The US government should bailout US automakers (even with a low-interest loan).,Bailout would diminish global market for US autos,-1,0.0030393260531127453,0.026876524090766907,0.9700841903686523
00289_10#00289_10_7,00289,00289_10,00289_10_7,The US government should bailout US automakers (even with a low-interest loan).,Withholding bailout is not necessary to US auto restructuring.,1,0.001926808967255056,0.9363099932670593,0.061763230711221695
00289_10#00289_10_9,00289,00289_10,00289_10_9,The US government should bailout US automakers (even with a low-interest loan).,US has successfully aided autos before; can do it again,1,0.0012628273107111454,0.9429091215133667,0.055828046053647995
00634_1#00634_1_4,00634,00634_1,00634_1_4,Mandating calorie counts on restaurant menus is good public policy.,Fear of government should not obstruct calorie counts on menus,1,0.02649099752306938,0.3075904846191406,0.6659185290336609
00871_7#00871_7_2,00871,00871_7,00871_7_2,The veto powers of the permanent members of the UN Security Council should be abolished.,P-5 countries will not allow the abolition of their UN SC vetoes,-1,0.013375119306147099,0.015602638013660908,0.9710222482681274
00082_9#00082_9_14,00082,00082_9,00082_9_14,Corps. do have a right to free speech and to spend w/o limit in elections.,"First amendment protects companies AND non-profits, unions, etc",1,0.0031354636885225773,0.5453799366950989,0.4514845609664917
00799_7#00799_7_7,00799,00799_7,00799_7_7,The No Child Left Behind education law in America is a good policy and worth continuing.,No Child Left Behind exerts too much federal power over states.,-1,0.0007858025492168963,0.019063973799347878,0.9801502227783203
00871_4#00871_4_4,00871,00871_4,00871_4_4,The veto powers of the permanent members of the UN Security Council should be abolished.,The UN Security Council Veto is unreflective of geopolitical realities,1,0.0043675522319972515,0.011974016204476357,0.983658492565155
00969_6#00969_6_2,00969,00969_6,00969_6_2,"""Under God"" in the American Pledge of Allegiance is appropriate and should not be eliminated.","""Under God"" is not a passive cultural expression; its prayer",-1,0.0014838336501270533,0.0032653792295604944,0.9952507019042969
00969_6#00969_6_6,00969,00969_6,00969_6_6,"""Under God"" in the American Pledge of Allegiance is appropriate and should not be eliminated.","""Under God"" was rashly added to patriotic Pledge in 1954",-1,0.007480345666408539,0.05690685659646988,0.9356127977371216
00042_13#00042_13_4,00042,00042_13,00042_13_4,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The US has a duty to Iraqis to stay and minimize the damage it has caused,-1,0.0031881281174719334,0.4088265001773834,0.5879853367805481
00042_4#00042_4_3,00042,00042_4,00042_4_3,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.","Americans would not have supported the Iraq War if they""d known what it would become",1,0.004441535100340843,0.255904883146286,0.7396535873413086
00100_4#00100_4_4,00100,00100_4,00100_4_4,Flag burning as a form of protest should be prohibited.,The national flag is a symbol of nationhood and national unity that ought to be protected from abuse.,1,0.04462376609444618,0.07644162327051163,0.8789346218109131
00315_9#00315_9_3,00315,00315_9,00315_9_3,Iron fertilization of algae blooms should be part of plans to combat global warming.,Algae-sequestered carbon may not remain sequestered for long,-1,0.0006855143001303077,0.011185683310031891,0.9881287217140198
00315_9#00315_9_7,00315,00315_9,00315_9_7,Iron fertilization of algae blooms should be part of plans to combat global warming.,Algae need only sequester C02 for roughly a century.,1,0.0009381152922287583,0.014250834472477436,0.9848110675811768
00315_9#00315_9_8,00315,00315_9,00315_9_8,Iron fertilization of algae blooms should be part of plans to combat global warming.,"Iron fertilization can dramatically reduce C02, combat global warming",1,0.00031171206501312554,0.003025857964530587,0.9966623783111572
00449_3#00449_3_13,00449,00449_3,00449_3_13,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.",Many Facebook users do not know that employers are watching.,-1,0.002737881615757942,0.049196187406778336,0.9480659365653992
00867_6#00867_6_2,00867,00867_6,00867_6_2,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Allowing AIG bonuses would undermine government-citizen trust.,-1,0.028854187577962875,0.33426493406295776,0.6368808746337891
00867_6#00867_6_3,00867,00867_6,00867_6_3,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Reneging AIG contracts undermines govt programs/contracts,1,0.005785866174846888,0.20806655287742615,0.7861475348472595
00867_9#00867_9_3,00867,00867_9,00867_9_3,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,"If AIG bonuses are not returned voluntarily, tax them",-1,0.011019722558557987,0.2397981733083725,0.7491821050643921
00289_5#00289_5_1,00289,00289_5,00289_5_1,The US government should bailout US automakers (even with a low-interest loan).,"If US automakers fail, foreign autos will raise prices",1,0.0019231471233069897,0.501122772693634,0.4969540536403656
00289_5#00289_5_2,00289,00289_5,00289_5_2,The US government should bailout US automakers (even with a low-interest loan).,US govt. is responsible for protecting communities with auto bailout,1,0.0021769492886960506,0.021064922213554382,0.9767581224441528
00289_5#00289_5_6,00289,00289_5,00289_5_6,The US government should bailout US automakers (even with a low-interest loan).,Bailout is investment in future tax revenues from US autos,1,0.010391609743237495,0.269663542509079,0.7199448347091675
00289_5#00289_5_7,00289,00289_5,00289_5_7,The US government should bailout US automakers (even with a low-interest loan).,Taxpayer dollars should not be used to bailout auto companies.,-1,0.0011453659972175956,0.9790614247322083,0.019793182611465454
00289_5#00289_5_9,00289,00289_5,00289_5_9,The US government should bailout US automakers (even with a low-interest loan).,US autos are not just companies; part of American fabric,1,0.0021246010437607765,0.2903028130531311,0.7075726389884949
00311_2#00311_2_1,00311,00311_2,00311_2_1,Heads of state or members of Parliament/Congress should enjoy immunity from prosecution.,"Immunity is definite, and holds politicians accountable for their offenses and crimes after office:",1,0.19613789021968842,0.03766051307320595,0.7662016153335571
00726_1#00726_1_7,00726,00726_1,00726_1_7,The US government should fund embryonic stem cell research.,Any social and health benefits may only come in the long-run - 14 years by one estimate:,-1,0.004714298527687788,0.17393989861011505,0.821345865726471
00326_1#00326_1_6,00326,00326_1,00326_1_6,The Vuvuzela horn should be banned from the FIFA World Cup.,The vuvuzela supercharges the atmosphere at the world cup.,-1,0.00202708737924695,0.8911541700363159,0.1068187803030014
00452_6#00452_6_16,00452,00452_6,00452_6_16,This House believes that downloading music and films from the Internet should be prohibited.,The only way for the musicians to survive is to sign a record deal.,1,0.0014798578340560198,0.7948915362358093,0.20362862944602966
00361_1#00361_1_3,00361,00361_1,00361_1_3,Bosnian Serb Republika Srpska should secede from Bosnia and Herzegovina.,Russian backing of Republika Srpska ind. could spark global conflict,-1,0.00600042100995779,0.10140133649110794,0.8925982713699341
00090_8#00090_8_22,00090,00090_8,00090_8_22,Society should ban or restrict the sale and use of violent video games.,A summary of the main classes of studies that link violent video games to actual violence:,1,0.001565456623211503,0.8266770839691162,0.17175745964050293
00301_4#00301_4_3,00301,00301_4,00301_4_3,The state should be fully privatised.,The most efficient and consumer friendly services are provided in industries driven by free choice and the power of the buyer.,1,0.0023946180008351803,0.6519777774810791,0.34562763571739197
00871_3#00871_3_5,00871,00871_3,00871_3_5,The veto powers of the permanent members of the UN Security Council should be abolished.,Argument: UN veto causes perceptions of the UN as a tool of the West,1,0.0017785500967875123,0.05130946636199951,0.9469119906425476
01183_2#01183_2_5,01183,01183_2,01183_2_5,The US government should bailout US automakers (even with a low-interest loan).,Bailout deters car buyers as much as bankruptcy would.,-1,0.012075682170689106,0.0809992104768753,0.9069251418113708
00350_10#00350_10_2,00350,00350_10,00350_10_2,Water should be considered a public good and not be privatized.,"Even if water is considered a right, privatization is the best way to protect that right",-1,0.2370283305644989,0.46159839630126953,0.30137330293655396
00361_6#00361_6_4,00361,00361_6,00361_6_4,Bosnian Serb Republika Srpska should secede from Bosnia and Herzegovina.,Republika Srpska has a right to self-determination by referendum,1,0.0012337780790403485,0.9232507348060608,0.07551555335521698
00635_8#00635_8_8,00635,00635_8,00635_8_8,Australia should be culling kangaroos.,The RSPCAs support for a culling hints that it is in the long-term interests of Kangaroos.,1,0.1603432446718216,0.11295398324728012,0.7267027497291565
00804_9#00804_9_3,00804,00804_9,00804_9_3,"""Clean coal"" should be a major part of plans to fight global warming.",Excess CO2 in oil and gas reserves will have to be burned off.,-1,0.01298146229237318,0.09609618037939072,0.8909223675727844
00871_6#00871_6_9,00871,00871_6,00871_6_9,The veto powers of the permanent members of the UN Security Council should be abolished.,"Abolishing UN SC veto won""t solve broader problems in UN SC",-1,0.0212242491543293,0.0011009284062311053,0.9776749014854431
00964_3#00964_3_4,00964,00964_3,00964_3_4,It is right for Governments to restrict freedom of speech.,"Exposing ""bad"" views by allowing them to be voiced increases the likelihood that they will be defeated.",-1,0.00949084386229515,0.060664400458335876,0.9298447370529175
00026_1#00026_1_2,00026,00026_1,00026_1_2,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,"Congress cannot punish AIG with ""laws attainder""",1,0.009209012612700462,0.10154737532138824,0.8892436623573303
00026_1#00026_1_5,00026,00026_1,00026_1_5,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Justice of reneging AIG bonuses would be worth costs,-1,0.01678604632616043,0.7797108292579651,0.2035031020641327
00296_2#00296_2_3,00296,00296_2,00296_2_3,The sale of human organs should be legal.,"The legalization of an organ marketplace would close organ trading black markets, and open the door for broader oversight.",1,0.5074611306190491,0.01713450811803341,0.4754043519496918
00734_2#00734_2_1,00734,00734_2,00734_2_1,Parents should genetically screen for healthier offspring. It should be legal.,Being able to select boy or girl embryo could allow parents to select the best match.,1,0.0011905815917998552,0.004827793221920729,0.9939815402030945
00966_2#00966_2_1,00966,00966_2,00966_2_1,Women should be allowed to serve in equal combat roles in armed forces.,Many military women are more physically capable of meeting performance targets then men in combat roles.,1,0.005869352258741856,0.02271910570561886,0.9714115858078003
01083_4#01083_4_1,01083,01083_4,01083_4_1,Foreign countries should intervene in African affairs.,The effects - even of regional blocs  on many despots in Africa has been shown to be nil:,-1,0.008737791329622269,0.6604386568069458,0.33082354068756104
01273_4#01273_4_3,01273,01273_4,01273_4_3,Delegates from Florida and Michigan should be alloted in the 2008 US elections.,Splitting the delegates would not give Floridians and Michigan voters any say.,-1,0.003139473032206297,0.030235711485147476,0.9666247963905334
00315_4#00315_4_2,00315,00315_4,00315_4_2,Iron fertilization of algae blooms should be part of plans to combat global warming.,Global warming grows phytoplankton; growing more is reckless,-1,0.001847960869781673,0.0366501621901989,0.9615017771720886
00315_4#00315_4_3,00315,00315_4,00315_4_3,Iron fertilization of algae blooms should be part of plans to combat global warming.,"Global warming kills algae, worsens warming; iron fertilization helps",1,0.000939790450502187,0.0025495323352515697,0.9965106844902039
00973_2#00973_2_4,00973,00973_2,00973_2_4,Fannie Mae and Freddie Mac should exist rather than being dismantled.,Supporting FannieMae/FreddieMac perpetuates too big to fail banks.,1,0.11385620385408401,0.14856064319610596,0.7375831604003906
00498_4#00498_4_2,00498,00498_4,00498_4_2,Foreign countries should intervene in African affairs.,The effects - even of regional blocs  on many despots in Africa has been shown to be nil:,-1,0.008737791329622269,0.6604386568069458,0.33082354068756104
00550_5#00550_5_4,00550,00550_5,00550_5_4,Partial-birth abortion should be banned.,The infants rights begin only after the fetus is removed from the mothers body and its umbilical cord cut.,-1,0.03753697872161865,0.2059626579284668,0.7565003633499146
00580_2#00580_2_1,00580,00580_2,00580_2_1,Heads of state or members of Parliament/Congress should enjoy immunity from prosecution.,"Immunity is definite, and holds politicians accountable for their offenses and crimes after office:",1,0.19613789021968842,0.03766051307320595,0.7662016153335571
00588_1#00588_1_1,00588,00588_1,00588_1_1,"9/11 suspects should be tried in NY courts, as ordered by US AG Eric Holder.",Courtroom rants of terrorists only expose them as hateful fools,1,0.01227716263383627,0.17527465522289276,0.8124482035636902
00588_1#00588_1_3,00588,00588_1,00588_1_3,"9/11 suspects should be tried in NY courts, as ordered by US AG Eric Holder.",There will be no TV cameras in trials of terror suspects.,1,0.001904061995446682,0.11750452220439911,0.8805915117263794
00588_1#00588_1_5,00588,00588_1,00588_1_5,"9/11 suspects should be tried in NY courts, as ordered by US AG Eric Holder.",Trials of 9/11 terrorists in NYC will become a circus,-1,0.0016635848442092538,0.0921095460653305,0.9062268733978271
00764_2#00764_2_6,00764,00764_2,00764_2_6,Public schools should teach creationism alongside evolution in science classes.,"It is not ""appropriate"" to teach creationism as a means for upholding the bible.",-1,0.0007145593990571797,0.041393715888261795,0.9578917026519775
00038_3#00038_3_11,00038,00038_3,00038_3_11,The US should create a public insurance option and hybrid public-private health care system.,"Low admin costs of public insurance don""t mean lower overall costs",-1,0.0006743219564668834,0.0014313196297734976,0.9978943467140198
00038_3#00038_3_8,00038,00038_3,00038_3_8,The US should create a public insurance option and hybrid public-private health care system.,Public insurance inefficiencies can be hidden by taxpayer-funding,-1,0.0005987537442706525,0.0019900603219866753,0.9974111914634705
00471_3#00471_3_1,00471,00471_3,00471_3_1,The filibuster is a valuable tool in government. It should not be abandoned.,Filibuster blocks small majorities ramming through unpopular laws,1,0.011611306108534336,0.00026600604178383946,0.9881227612495422
01100_9#01100_9_3,01100,01100_9,01100_9_3,Illegal immigrants in the United States should be allowed to obtain drivers licenses.,Post 9/11 fears should not cause the US to deny drivers licenses to illegal immigrants,1,0.797623872756958,0.035844165831804276,0.16653193533420563
00588_11#00588_11_4,00588,00588_11,00588_11_4,"9/11 suspects should be tried in NY courts, as ordered by US AG Eric Holder.",Military tribunals do not fully uphold the rule of law.,1,0.0041029625572264194,0.17327730357646942,0.8226196765899658
00588_11#00588_11_6,00588,00588_11,00588_11_6,"9/11 suspects should be tried in NY courts, as ordered by US AG Eric Holder.",There is little difference between civilian courts and military tribunals.,1,0.007458167150616646,0.39993229508399963,0.5926095247268677
00952_1#00952_1_2,00952,00952_1,00952_1_2,An international ban on landmines is justified. The USA and other non-signatories should join.,Land mines are an important option to maintain.,-1,0.002523586852476001,0.0716845765709877,0.9257919192314148
00952_1#00952_1_5,00952,00952_1,00952_1_5,An international ban on landmines is justified. The USA and other non-signatories should join.,Land mines are effective at containing military threats.,-1,0.0016676735831424594,0.0703209936618805,0.9280112981796265
00128_5#00128_5_3,00128,00128_5,00128_5_3,"Use of the word ""nigger"" is acceptable. It should not be condemned/banned.","""Nigger"" is acceptable depending on who uses it.",1,0.1681186407804489,0.006758454721421003,0.8251228332519531
00853_1#00853_1_5,00853,00853_1,00853_1_5,Bosnian Serb Republika Srpska should secede from Bosnia and Herzegovina.,Russian backing of Republika Srpska ind. could spark global conflict,-1,0.00600042100995779,0.10140133649110794,0.8925982713699341
00143_3#00143_3_4,00143,00143_3,00143_3_4,Bosnia and Herzegovina should continue under the Dayton Agreement rather than change/abandon it.,"Republika Srpska will not accept ""unitary"" governance in Bosnia",1,0.1279515027999878,0.1379205882549286,0.734127938747406
00517_7#00517_7_2,00517,00517_7,00517_7_2,Assisted suicide should be legalized.,Sanctity-of-life ideologies trample the lives of the dying that call for euthanasia.,1,0.3712288737297058,0.12599068880081177,0.5027804374694824
00949_2#00949_2_1,00949,00949_2,00949_2_1,The Twin Towers in NYC should be rebuilt.,"The fact that the Twin Towers weren""t rebuilt is a symbol of defeat of the american way of life.",1,0.007220678497105837,0.11732757836580276,0.8754516839981079
00267_4#00267_4_2,00267,00267_4,00267_4_2,The Obama administration should escalate the War in Afghanistan in 2009 and 2010.,US/NATO have no more moral obligation to Afg than other states.,-1,0.004497456829994917,0.1839299201965332,0.8115726709365845
00267_4#00267_4_3,00267,00267_4,00267_4_3,The Obama administration should escalate the War in Afghanistan in 2009 and 2010.,Limited resources constrain moral obligations of US/NATO to Afg.,-1,0.0026923567056655884,0.029505539685487747,0.9678020477294922
00267_4#00267_4_5,00267,00267_4,00267_4_5,The Obama administration should escalate the War in Afghanistan in 2009 and 2010.,"US/NATO cannot solve Afg, so cannot fulfill any moral obligations.",-1,0.004545043222606182,0.16164083778858185,0.8338140845298767
00315_3#00315_3_1,00315,00315_3,00315_3_1,Iron fertilization of algae blooms should be part of plans to combat global warming.,Algae blooms last for a short time; no long-term damage.,1,0.00038159938412718475,0.005573282949626446,0.9940451383590698
00315_3#00315_3_3,00315,00315_3,00315_3_3,Iron fertilization of algae blooms should be part of plans to combat global warming.,Iron-fertilized algae blooms can deplete marine oxygen levels,-1,0.00032126152655109763,0.0009761436958797276,0.9987026453018188
00969_1#00969_1_1,00969,00969_1,00969_1_1,"""Under God"" in the American Pledge of Allegiance is appropriate and should not be eliminated.","Pledge and ""Under God"" are voluntary, not coercive",1,0.0032502287067472935,0.0035446053370833397,0.993205189704895
00969_1#00969_1_2,00969,00969_1,00969_1_2,"""Under God"" in the American Pledge of Allegiance is appropriate and should not be eliminated.","Children are not oppressed or brainwashed by ""Under God""",1,0.019388264045119286,0.004086354281753302,0.9765253663063049
00969_1#00969_1_4,00969,00969_1,00969_1_4,"""Under God"" in the American Pledge of Allegiance is appropriate and should not be eliminated.","""Under God"" teaches children they must be faithful to be patriotic",-1,0.004942076280713081,0.000996698741801083,0.9940611720085144
00969_1#00969_1_5,00969,00969_1,00969_1_5,"""Under God"" in the American Pledge of Allegiance is appropriate and should not be eliminated.","""Under God"" wrongly coerces Children to believe in God",-1,0.004415601491928101,0.8700472712516785,0.12553708255290985
00472_5#00472_5_3,00472,00472_5,00472_5_3,The legal age for drinking alcohol should be lowered.,Teenagers who start drinking too early have a 1500% more chance of becoming alcoholics and drinking too much.,-1,0.0030952265951782465,0.01689455285668373,0.9800102114677429
00026_6#00026_6_1,00026,00026_6,00026_6_1,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Allowing AIG bonuses would undermine government-citizen trust.,-1,0.028854187577962875,0.33426493406295776,0.6368808746337891
00026_6#00026_6_2,00026,00026_6,00026_6_2,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Reneging AIG contracts undermines govt programs/contracts,1,0.005785866174846888,0.20806655287742615,0.7861475348472595
00042_15#00042_15_15,00042,00042_15,00042_15_15,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The Iraq war was fully justified at the time of the decision based on the evidence.,-1,0.0030606710352003574,0.12673741579055786,0.8702020049095154
00042_15#00042_15_3,00042,00042_15,00042_15_3,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.","The Iraq War will be illegal after UN authorizations expire on January 1, 2009",1,0.004245498683303595,0.13135521113872528,0.8643993139266968
00042_15#00042_15_4,00042,00042_15,00042_15_4,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.","US justifications for war in Iraq were faulty, making a continued occupation baseless.",1,0.0037142843939363956,0.2054828554391861,0.7908028364181519
00090_4#00090_4_3,00090,00090_4,00090_4_3,Society should ban or restrict the sale and use of violent video games.,"Experiments show visual, tracking benefits from video games, particularly shoot-em-ups:",-1,0.0015419916016981006,0.9203513860702515,0.07810664176940918
01039_3#01039_3_6,01039,01039_3,01039_3_6,"Handguns should be banned in Washington, DC.",The 2nd Amendment was influenced by the English Bill of Rights to confer an individual right to bear arms.,-1,0.005565744824707508,0.05735350400209427,0.9370807409286499
00204_2#00204_2_1,00204,00204_2,00204_2_1,The sale of human organs should be legal.,"The legalization of an organ marketplace would close organ trading black markets, and open the door for broader oversight.",1,0.5074611306190491,0.01713450811803341,0.4754043519496918
00328_4#00328_4_7,00328,00328_4,00328_4_7,The United States Congress should allow drilling for oil in the Arctic National Wildlife Refuge.,Drilling in ANWR would have a negligible effect on oil prices.,-1,0.004309872630983591,0.5190495848655701,0.47664058208465576
00328_4#00328_4_8,00328,00328_4,00328_4_8,The United States Congress should allow drilling for oil in the Arctic National Wildlife Refuge.,Drilling in ANWR would only perpetuate the US addiction to oil.,-1,0.0028880168683826923,0.6019115447998047,0.3952004611492157
00435_2#00435_2_2,00435,00435_2,00435_2_2,Parents should genetically screen for healthier offspring. It should be legal.,Being able to select boy or girl embryo could allow parents to select the best match.,1,0.0011905815917998552,0.004827793221920729,0.9939815402030945
00550_6#00550_6_11,00550,00550_6,00550_6_11,Partial-birth abortion should be banned.,A blanket ban on partial birth abortions may make it impossible to save a womans life in certain medical circumstances.,-1,0.7744904160499573,0.15664763748645782,0.06886197626590729
00550_6#00550_6_5,00550,00550_6,00550_6_5,Partial-birth abortion should be banned.,"The widespread availability of birth control options provide women with a sufficient ""choice"" to determine the future of their bodies.",1,0.005567633546888828,0.5236549377441406,0.4707774221897125
00584_5#00584_5_10,00584,00584_5,00584_5_10,Mandating calorie counts on restaurant menus is good public policy.,Calorie counts incentivize healthier menus that attract new customers,1,0.002295767655596137,0.362240731716156,0.6354634165763855
00889_20#00889_20_4,00889,00889_20,00889_20_4,Tibet should seek and gain independence.,Tibet has been an indivisible part of China de jure since Mongol (Yuan) conquest 700 years ago.,-1,0.0015870854258537292,0.003546094289049506,0.9948668479919434
00952_5#00952_5_3,00952,00952_5,00952_5_3,An international ban on landmines is justified. The USA and other non-signatories should join.,General statements in favor of preserving land mines.,-1,0.012316152453422546,0.13972683250904083,0.8479570150375366
00952_5#00952_5_9,00952,00952_5,00952_5_9,An international ban on landmines is justified. The USA and other non-signatories should join.,General statements in favor of a land ban treaty,1,0.013662806712090969,0.15836845338344574,0.8279687762260437
01168_1#01168_1_2,01168,01168_1,01168_1_2,All public transport should be free and paid for by the state.,"A lot of people would already be using it if it didn""t cost so much.",1,0.0013579430524259806,0.9140370488166809,0.08460503816604614
00055_11#00055_11_4,00055,00055_11,00055_11_4,Iraq should be partitioned into three autonomous sectarian regions.,"A partition plan would reduce the need to protect against opposing groups, reducing the incentive for violence:",1,0.0007112899329513311,0.0023569550830870867,0.996931791305542
00480_1#00480_1_3,00480,00480_1,00480_1_3,The Israeli security wall/barrier should be taken down.,Israels security wall was found by the ICJ to be a breach of international law in 2004:,1,0.027019212022423744,0.005985607858747244,0.966995120048523
00088_5#00088_5_3,00088,00088_5,00088_5_3,The legal age for drinking alcohol should be lowered.,Teenagers who start drinking too early have a 1500% more chance of becoming alcoholics and drinking too much.,-1,0.0030952265951782465,0.01689455285668373,0.9800102114677429
00550_8#00550_8_14,00550,00550_8,00550_8_14,Partial-birth abortion should be banned.,There are certain exceptional cases which have been cited as circumstantially appropriate for a partial birth abortion.,-1,0.012465273961424828,0.4200313091278076,0.5675033926963806
00867_4#00867_4_1,00867,00867_4,00867_4_1,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,Reneging AIG contracts undermines govt programs/contracts,1,0.005785866174846888,0.20806655287742615,0.7861475348472595
00867_4#00867_4_3,00867,00867_4,00867_4_3,AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.,AIG bonuses would not have been possible without bailout,-1,0.03187922388315201,0.4412814676761627,0.5268393754959106
