pairid,argid,propid_to,propid_from,text_to,text_from,relation,abduct_3_cause,abduct_3_obstruct
00046_14#00046_14_7,00046,00046_14,00046_14_7,ICC is good. The US and other countries should join the ICC.,ICC has advanced provision for reparations and non-repetition,1,6.425379979191348e-05,4.528123827185482e-05
00088_2#00088_2_2,00088,00088_2,00088_2_2,The legal age for drinking alcohol should be lowered.,Young adults often can afford pubs and would simply buy liquor cheaply at supermarkets.,-1,9.573456190992147e-05,0.0002628858492244035
00245_4#00245_4_7,00245,00245_4,00245_4_7,The US Guantanamo Bay detention center is justified. It should not be closed.,Guantanamo should not be closed to placate international opinion,1,9.858024714048952e-05,4.0437615098198876e-05
00280_2#00280_2_1,00280,00280_2,00280_2_1,Men found guilty of sex crimes should be chemically castrated.,Many offenders will seek castration merely to get out of jail.,-1,0.0005617178976535797,0.00038147831219248474
00280_2#00280_2_12,00280,00280_2,00280_2_12,Men found guilty of sex crimes should be chemically castrated.,Sex offenders lose some rights but not all; castration crosses line,-1,0.0004943913663737476,1.7152016880572774e-05
00495_4#00495_4_3,00495,00495_4,00495_4_3,Child beauty pageants are tolerable and should not be banned.,"Child beauty contests worsen pedophilia, sex abuse",-1,0.05251633748412132,0.0005083701107650995
00764_1#00764_1_10,00764,00764_1,00764_1_10,Public schools should teach creationism alongside evolution in science classes.,Schools should not teach theories that are completely at odds with each other.,-1,0.695309579372406,0.009228663519024849
01179_11#01179_11_17,01179,01179_11,01179_11_17,Abortions of any kind should be permitted.,A womans rights are not the only rights that need to be respected in abortion:,-1,0.00017567443137522787,7.30126048438251e-05
01179_11#01179_11_21,01179,01179_11,01179_11_21,Abortions of any kind should be permitted.,The right to choice/privacy (abortion) does not override the right to life,-1,0.0010453632567077875,8.294561121147126e-05
00387_7#00387_7_4,00387,00387_7,00387_7_4,Hydrogen vehicles should be a major part of strategies to fight global warming.,Hydrogen cars are hard to start in sub-zero weather.,-1,0.0002660809550434351,4.418939715833403e-05
00599_1#00599_1_11,00599,00599_1,00599_1_11,Scotland should become an independent nation.,Argument that many countries in the world have strong regional differences that have not justified separatism:,-1,0.0007168137817643583,3.477322024991736e-05
00889_5#00889_5_5,00889,00889_5,00889_5_5,Tibet should seek and gain independence.,"During the Tang Dynasty, close social and economic relations were built between the Tibetans and the Hans",-1,0.0003441045409999788,3.1083680369192734e-05
00899_11#00899_11_4,00899,00899_11,00899_11_4,"Govts should mandate that people buy private health insurance, or face penalties.",Mandatory insurance can be subsidized for the struggling,1,0.00010394201672170311,4.3566655222093686e-05
01039_3#01039_3_5,01039,01039_3,01039_3_5,"Handguns should be banned in Washington, DC.",If the 2nd amendment was to protect an individual right it would have clearly expressed it,1,8.015432104002684e-05,1.6335137843270786e-05
00040_2#00040_2_2,00040,00040_2,00040_2_2,Muslim burqa and niqab should be banned.,"Many Muslims disapprove of burqa, call for ban",1,0.004483340308070183,0.00042284480878151953
00040_8#00040_8_5,00040,00040_8,00040_8_5,Muslim burqa and niqab should be banned.,"Few wear burqas, but it impacts all of society.",1,0.0005997266271151602,0.0007114367908798158
00197_4#00197_4_7,00197,00197_4,00197_4_7,Australia should become a republic rather than continue as a constitutional monarchy.,Creating a republic would require dramatically re-writing Australias constitution.,-1,0.0003868675557896495,0.00012282677926123142
00549_2#00549_2_1,00549,00549_2,00549_2_1,The United Kingdom should hand over the Falkland Islands to Argentina.,The Malvinas Islands are part of the South American continental shelf.,1,4.683729275711812e-05,3.779538383241743e-05
00889_20#00889_20_7,00889,00889_20,00889_20_7,Tibet should seek and gain independence.,The Tibetan independence movement has been driven in history by a malicious Western imperialist campaign against China.,-1,0.0001442852953914553,2.3876753402873874e-05
00197_5#00197_5_12,00197,00197_5,00197_5_12,Australia should become a republic rather than continue as a constitutional monarchy.,Republicanism is disrespectful to the queen.,-1,0.00012997339945286512,3.178901897626929e-05
00197_5#00197_5_3,00197,00197_5,00197_5_3,Australia should become a republic rather than continue as a constitutional monarchy.,Seeking an Australian republic does not disrespect the queen,1,0.00014174822717905045,1.8849055777536705e-05
00201_2#00201_2_1,00201,00201_2,00201_2_1,Everyone should have to carry a national identity card.,National IDs would be better for national security than reliance on drivers license IDs,1,0.0004015658050775528,0.0002717059978749603
00326_4#00326_4_4,00326,00326_4,00326_4_4,The Vuvuzela horn should be banned from the FIFA World Cup.,Vuvuzelas make it hard to hear commentators.,1,0.00011107389582321048,8.97580903256312e-05
00328_5#00328_5_13,00328,00328_5,00328_5_13,The United States Congress should allow drilling for oil in the Arctic National Wildlife Refuge.,Rep. Devin Nunes (R-CA),1,8.968430483946577e-05,2.9619084671139717e-05
00480_1#00480_1_1,00480,00480_1,00480_1_1,The Israeli security wall/barrier should be taken down.,There are numerous reasons why the ICJ opinion is not binding for Israel:,-1,0.003706785151734948,1.732840246404521e-05
00799_3#00799_3_11,00799,00799_3,00799_3_11,The No Child Left Behind education law in America is a good policy and worth continuing.,No Child Left Behind increases dropout rates.,-1,0.001806429703719914,0.00043228035792708397
00799_3#00799_3_12,00799,00799_3,00799_3_12,The No Child Left Behind education law in America is a good policy and worth continuing.,NCLB encountered some problems due to low funding,1,0.002720324322581291,3.363559881108813e-05
00799_3#00799_3_3,00799,00799_3,00799_3_3,The No Child Left Behind education law in America is a good policy and worth continuing.,NCLB raises standards and testing without improving education,-1,6.465837213909253e-05,8.424135739915073e-05
00810_1#00810_1_3,00810,00810_1,00810_1_3,Solar shading should be part of plans to reverse global climate change.,"Once geoengineering begins, there is no going back",-1,0.00011901270772796124,4.171345062786713e-05
00927_1#00927_1_1,00927,00927_1,00927_1_1,EU federalization is a good idea. The EU should become the United States of Europe.,No political will or support for the federation,-1,0.00015542778419330716,7.561210804851726e-05
00927_3#00927_3_3,00927,00927_3,00927_3_3,EU federalization is a good idea. The EU should become the United States of Europe.,International cooperation is sometimes of greater importance.,1,0.0004561444220598787,0.0003439281426835805
00927_3#00927_3_4,00927,00927_3,00927_3_4,EU federalization is a good idea. The EU should become the United States of Europe.,Enlargement is too far already.,1,0.00010191486217081547,8.575637184549123e-05
00388_13#00388_13_8,00388,00388_13,00388_13_8,The United States should lower its drinking age from 21 to 18.,Infantilizing 18-21-year-olds encourages immature drinking,1,7.428581011481583e-05,6.896612467244267e-05
00550_8#00550_8_11,00550,00550_8,00550_8_11,Partial-birth abortion should be banned.,A poor woman may also be more susceptible to late abortions for a variety of reasons.,-1,0.0007277113618329167,0.0001527130661997944
00550_8#00550_8_9,00550,00550_8,00550_8_9,Partial-birth abortion should be banned.,Partial-birth abortions are performed when fetal tissues are harder to dismember.,1,0.000338467099936679,0.0004960513906553388
00889_23#00889_23_1,00889,00889_23,00889_23_1,Tibet should seek and gain independence.,The principles of Tibet independence should be considered outside of the context of other separatist movements.,1,0.003137897700071335,3.7706086004618555e-05
01088_3#01088_3_3,01088,01088_3,01088_3_3,"Junk food advertising should be banned, especially during childrens television programs.",Junk food advertising does not force parents to buy the food.,-1,0.0003859083808492869,0.0001261459110537544
00040_3#00040_3_2,00040,00040_3,00040_3_2,Muslim burqa and niqab should be banned.,Burqa ban violates rights of women to their own body.,-1,0.011275440454483032,0.012198199518024921
00245_10#00245_10_1,00245,00245_10,00245_10_1,The US Guantanamo Bay detention center is justified. It should not be closed.,"US trials of detainees exposes intelligence, weakens security",1,8.797577902441844e-05,3.8550908357137814e-05
00285_29#00285_29_7,00285,00285_29,00285_29_7,You should belong to the Democratic rather than Republican party.,"Govt of, by, for the people is still a burden on people.",-1,0.0007642570417374372,0.00014003145042806864
00285_29#00285_29_8,00285,00285_29,00285_29_8,You should belong to the Democratic rather than Republican party.,"Reps believe govt should only do things citizens/comps can""t",-1,0.00011629465006990358,4.5913620851933956e-05
00479_1#00479_1_1,00479,00479_1,00479_1_1,Incest between consenting adults should be legal.,"Inbreeding is unsustainable for society, so is bad law.",-1,0.00019802288443315774,0.0002383360406383872
00549_9#00549_9_1,00549,00549_9,00549_9_1,The United Kingdom should hand over the Falkland Islands to Argentina.,Brits now dominate the Malvinas; self-determination cannot apply,1,9.174761362373829e-05,6.96989955031313e-05
00899_14#00899_14_2,00899,00899_14,00899_14_2,"Govts should mandate that people buy private health insurance, or face penalties.",Uninsured degrade care for all; mandates appropriate,1,6.217307964107022e-05,5.9498604969121516e-05
01179_28#01179_28_18,01179,01179_28,01179_28_18,Abortions of any kind should be permitted.,The fetus causes physical pain; the woman has a right to self-defense.,1,0.0002968153276015073,0.002091308357194066
00089_1#00089_1_1,00089,00089_1,00089_1_1,There should be Concealed carry rather than open carry firearm laws.,"Open carrying doesn""t tell criminals others aren""t concealed carrying.",-1,0.00010818876762641594,3.222672239644453e-05
00245_3#00245_3_2,00245,00245_3,00245_3_2,The US Guantanamo Bay detention center is justified. It should not be closed.,The public image of Guantanamo is far worse than the reality,1,5.695392974303104e-05,4.042013824800961e-05
00245_3#00245_3_3,00245,00245_3,00245_3_3,The US Guantanamo Bay detention center is justified. It should not be closed.,Some human rights can be violated to preserve national security.,1,0.0015290717128664255,1.8156815713155083e-05
00245_3#00245_3_9,00245,00245_3,00245_3_9,The US Guantanamo Bay detention center is justified. It should not be closed.,Guantanamo abuses include the desecration of the Koran,-1,7.488054689019918e-05,4.0277162042912096e-05
00513_3#00513_3_3,00513,00513_3,00513_3_3,Countries should place some limitations on foreign investments.,The whole idea of investment curbs affronts the ideal of the free market.,-1,6.0897764342371374e-05,1.7343485524179414e-05
00741_2#00741_2_1,00741,00741_2,00741_2_1,Unemployed people should be made to work for their welfare money.,Making the unemployed work for their welfare money positively breaks the dependency culture:,1,0.6913695335388184,0.0006423848099075258
00872_2#00872_2_3,00872,00872_2,00872_2_3,It is fair to issue parking fines to people who park their car longer than the allocated time.,People have the right to make money,1,0.0001813579729059711,1.1893264854734298e-05
01108_7#01108_7_5,01108,01108_7,01108_7_5,Plans to fight global warming should prioritize solar energy.,"Decentralized, low-capital solar is better for small enterprise.",1,0.003256309311836958,0.00041093493928201497
00042_5#00042_5_5,00042,00042_5,00042_5_5,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The death toll following the US withdrawal from Vietnam was not bad,1,8.88158319867216e-05,0.00021395523799583316
00046_5#00046_5_1,00046,00046_5,00046_5_1,ICC is good. The US and other countries should join the ICC.,"All UN members can vote on ICC definition of ""aggression""",1,0.0005270075635053217,2.0474317352636717e-05
00046_5#00046_5_3,00046,00046_5,00046_5_3,ICC is good. The US and other countries should join the ICC.,"UN ICC members cannot agree on a definition of ""aggression""",-1,0.00022826032363809645,0.0018872739747166634
00197_1#00197_1_2,00197,00197_1,00197_1_2,Australia should become a republic rather than continue as a constitutional monarchy.,"The monarchy might ""work"", but it is inappropriate and wrong",1,0.00010165314597543329,5.005587809137069e-05
00197_3#00197_3_6,00197,00197_3,00197_3_6,Australia should become a republic rather than continue as a constitutional monarchy.,"Australians democratically chose a constitutional monarchy; it wasn""t imposed",-1,0.00016006018267944455,5.6409218814224005e-05
00387_11#00387_11_7,00387,00387_11,00387_11_7,Hydrogen vehicles should be a major part of strategies to fight global warming.,With no lubricity hydrogen is highly volatile in handling.,-1,0.0005308368126861751,0.0003754743665922433
00611_8#00611_8_4,00611,00611_8,00611_8_4,Countries should boycott the 2008 Olympics in China due to human rights concerns there.,Only boycotting the Olympics sufficiently protests Chinas abuses.,1,0.00018088310025632381,2.793244675558526e-05
00942_9#00942_9_2,00942,00942_9,00942_9_2,Geothermal energy should be a major part of plans to combat global warming.,Geothermal energy is often too far from populated areas.,-1,0.0007062312797643244,0.0009181729983538389
01100_10#01100_10_3,01100,01100_10,01100_10_3,Illegal immigrants in the United States should be allowed to obtain drivers licenses.,Deporting illegal immigrants would cripple the US economy,1,0.0015604181680828333,3.852505687973462e-05
01159_12#01159_12_2,01159,01159_12,01159_12_2,Wind energy should be a major component of plans to fight global warming.,Wind power in Australia was shut down due to dying birds.,-1,0.00015747133875265718,4.712180088972673e-05
00015_20#00015_20_9,00015,00015_20,00015_20_9,Gay marriage should be legalized.,Marriage is safety-net for accidental pregnancies (N/A for gays).,-1,0.00040524787618778646,0.00010902772191911936
00042_22#00042_22_3,00042,00042_22,00042_22_3,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",Kurds may secede regardless if US stays or leaves Iraq,1,0.00025784873287193477,9.849135676631704e-05
00152_8#00152_8_1,00152,00152_8,00152_8_1,Marijuana possession should be decriminalized and made into a civil offense.,Decriminalizing Marijuana possession will increase its use.,-1,0.0005994139355607331,0.0003437758714426309
00152_8#00152_8_2,00152,00152_8,00152_8_2,Marijuana possession should be decriminalized and made into a civil offense.,There is little evidence that Marijuana is a gateway drug.,1,5.210981180425733e-05,3.6992962122894824e-05
00184_6#00184_6_2,00184,00184_6,00184_6_2,Catholic priests still should be required to take a vow of celibacy.,The Church should maintain its tradition of celibacy.,-1,0.012496010400354862,0.00010554090840741992
00184_6#00184_6_3,00184,00184_6,00184_6_3,Catholic priests still should be required to take a vow of celibacy.,"Other priests can marry, Roman Catholics should be able to",1,0.0001115852574002929,6.597301398869604e-05
00184_6#00184_6_6,00184,00184_6,00184_6_6,Catholic priests still should be required to take a vow of celibacy.,Catholic Church did not adopt celibacy until second millennium,1,4.2522129660937935e-05,3.83564256480895e-05
00321_4#00321_4_2,00321,00321_4,00321_4_2,Human reproductive cloning should be banned and punishments should be leveled against it.,Moral arguments against cloning are unfair to future human clones,-1,8.37614425108768e-05,2.3718923330307007e-05
00321_4#00321_4_6,00321,00321_4,00321_4_6,Human reproductive cloning should be banned and punishments should be leveled against it.,Reproductive cloning generally diminishes human individualism,1,0.00022902262571733445,0.00013395246060099453
00350_3#00350_3_6,00350,00350_3,00350_3_6,Water should be considered a public good and not be privatized.,Rapid growth of water infrastructure can only be achieved through private investments,-1,0.0006127879023551941,0.0006760534015484154
00350_3#00350_3_8,00350,00350_3,00350_3_8,Water should be considered a public good and not be privatized.,When water is not treated as an economic good it is wasted,-1,0.03569968789815903,0.7299765944480896
00350_3#00350_3_9,00350,00350_3,00350_3_9,Water should be considered a public good and not be privatized.,Water privatization is at odds with the need to conserve water resources,1,0.0008340997737832367,5.235765638644807e-05
00584_6#00584_6_4,00584,00584_6,00584_6_4,Mandating calorie counts on restaurant menus is good public policy.,Customers are indifferent to calorie counts on menus,-1,0.00022376771084964275,0.0025508692488074303
00584_6#00584_6_6,00584,00584_6,00584_6_6,Mandating calorie counts on restaurant menus is good public policy.,Those dining out are less likely to care about calories,-1,0.0004174740461166948,0.0019605609122663736
00584_6#00584_6_7,00584,00584_6,00584_6_7,Mandating calorie counts on restaurant menus is good public policy.,Calorie counts cause consumers to make healthier choices,1,0.019644925370812416,0.06758622825145721
00584_6#00584_6_9,00584,00584_6,00584_6_9,Mandating calorie counts on restaurant menus is good public policy.,Calorie counts are ineffective at compelling healthier choices,-1,0.00011378909402992576,0.0014380497159436345
00889_24#00889_24_2,00889,00889_24,00889_24_2,Tibet should seek and gain independence.,It would be good for the world for other legitimate secessionist movements to succeed in achieving independence.,1,0.9171425104141235,9.325826249551028e-05
01089_7#01089_7_1,01089,01089_7,01089_7_1,There should be an outright ban on the smacking or spanking of children.,A little smack is okay in the right context.,-1,7.909583655418828e-05,5.1876766519853845e-05
01122_4#01122_4_4,01122,01122_4,01122_4_4,In some cases juveniles should be tried as adults.,"Many have proven less maturity in juveniles, but have any proven its legal significance?",1,0.00010713708616094664,3.6904595617670566e-05
00042_21#00042_21_10,00042,00042_21,00042_21_10,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The Iraq War has hamstrung US Middle East policy,1,8.901544060790911e-05,0.00019745153258554637
00042_21#00042_21_11,00042,00042_21,00042_21_11,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The Iraq War has damaged US international security leverage in the world,1,6.531022518174723e-05,6.038900755811483e-05
00042_21#00042_21_5,00042,00042_21,00042_21_5,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",A premature US withdrawal would jeopardize world oil supplies,-1,0.00021860738343093544,0.00015241546498145908
00096_1#00096_1_1,00096,00096_1,00096_1_1,Governments should have the power to intern suspects without trial.,"By protecting life, internment is protecting the greatest liberty of all: life.",1,0.005978901404887438,2.055501136055682e-05
00125_3#00125_3_2,00125,00125_3,00125_3_2,Tidal energy should be a major part of plans to fight global warming.,Tidal energy supply is out of sink with peak energy demand.,-1,0.00024520797887817025,7.874161383369938e-05
00125_3#00125_3_3,00125,00125_3,00125_3_3,Tidal energy should be a major part of plans to fight global warming.,Tidal energy production varies with tides; requires stand-by power,-1,8.178428106475621e-05,1.7330507034785114e-05
00198_6#00198_6_5,00198,00198_6,00198_6_5,Fish farming should be banned or severely restricted. It should not be encouraged.,Fish farming does not stop the catching of wild fish:,1,0.00358222215436399,0.0028494468424469233
00253_11#00253_11_1,00253,00253_11,00253_11_1,ICC is good. The US and other countries should join the ICC.,Cooperation in ICC and rule of law is best overall for stability,1,0.3286825716495514,6.108582601882517e-05
00253_11#00253_11_4,00253,00253_11,00253_11_4,ICC is good. The US and other countries should join the ICC.,Case-by-case approach is superior to ICC in crises,-1,8.442441321676597e-05,4.428079046192579e-05
00253_11#00253_11_5,00253,00253_11,00253_11_5,ICC is good. The US and other countries should join the ICC.,ICC causes tyrants to cling to power to avoid prosecution,-1,0.00011157712287968025,6.840114656370133e-05
00253_11#00253_11_8,00253,00253_11,00253_11_8,ICC is good. The US and other countries should join the ICC.,ICC rules of war make war more tolerable and likely,-1,9.080615564016625e-05,2.7244443117524497e-05
00326_7#00326_7_5,00326,00326_7,00326_7_5,The Vuvuzela horn should be banned from the FIFA World Cup.,Vuvuzelas disrupt players and others sleep at night,1,0.00010599040979286656,0.0001795195712475106
00701_1#00701_1_8,00701,00701_1,00701_1_8,Reforestation should be a central strategy in combating climate change.,Reforestation sequesters C02 and helps reverse global warming,1,0.006609342060983181,0.00018033524975180626
00722_4#00722_4_3,00722,00722_4,00722_4_3,"""Champagne"" wine production should be reserved solely to the French region of Champagne.","Universal use of ""Champagne"" would promote French culture",-1,0.000650001922622323,1.8720089428825304e-05
00903_2#00903_2_4,00903,00903_2,00903_2_4,Upper oceanic heat transport should be utilized.,Lessening the strength of hurricanes would mean that fewer human lives would be lost or ruined.,1,0.6439192891120911,0.15721163153648376
01050_3#01050_3_2,01050,01050_3,01050_3_2,Countries in the Americas should agree to the FTAA.,"The U.S. is not really committed to ""free"" trade.",-1,8.363504457520321e-05,9.582525672158226e-05
01050_3#01050_3_3,01050,01050_3,01050_3_3,Countries in the Americas should agree to the FTAA.,"The U.S. is a proponent of ""free trade plus"".",1,5.007541039958596e-05,2.2433760022977367e-05
00055_7#00055_7_6,00055,00055_7,00055_7_6,Iraq should be partitioned into three autonomous sectarian regions.,"""Iran might enjoy having an autonomous Shia region under its influence.""",1,0.00020893731561955065,5.121528010931797e-05
00184_4#00184_4_1,00184,00184_4,00184_4_1,Catholic priests still should be required to take a vow of celibacy.,Allowing priests to marry would reduce sexual abuse in Church.,1,0.0008488603634759784,1.217206045112107e-05
00253_14#00253_14_4,00253,00253_14,00253_14_4,ICC is good. The US and other countries should join the ICC.,ICC has advanced provision for reparations and non-repetition,1,6.425379979191348e-05,4.528123827185482e-05
00517_5#00517_5_9,00517,00517_5,00517_5_9,Assisted suicide should be legalized.,"Pain can""t justify euthanasia, it can be made tolerable with modern medicines",-1,8.640378655400127e-05,0.00010656406811904162
00672_2#00672_2_3,00672,00672_2,00672_2_3,Women should be in the military.,"To maintain its supremacy in the world,  the US military needs all qualified  individuals regardless of their gender",1,0.00020906567806378007,3.3958975109271705e-05
01271_1#01271_1_6,01271,01271_1,01271_1_6,Nasa should return humans to the Moon rather than going to Mars.,Mars is more hospitable than the Moon in many ways,-1,0.0002102581929648295,5.930451879976317e-05
00038_5#00038_5_10,00038,00038_5,00038_5_10,The US should create a public insurance option and hybrid public-private health care system.,Conservatives fear successful public plan undermines their arguments,1,8.820481161819771e-05,1.688294651103206e-05
00038_5#00038_5_12,00038,00038_5,00038_5_12,The US should create a public insurance option and hybrid public-private health care system.,Public option puts bureaucrats between patients and doctors,-1,9.496234270045534e-05,8.383698877878487e-05
00038_5#00038_5_7,00038,00038_5,00038_5_7,The US should create a public insurance option and hybrid public-private health care system.,Public insurance offers a valuable check on private insurance,1,0.00021710680448450148,1.135356978920754e-05
00038_5#00038_5_8,00038,00038_5,00038_5_8,The US should create a public insurance option and hybrid public-private health care system.,US already has public-private health insurance hybrids,1,0.00021535260020755231,0.00015296907804440707
00176_5#00176_5_1,00176,00176_5,00176_5_1,We should be trying to prevent species becoming extinct.,Environmental protection and the protection of biodiversity are very much a luxury of developed nations.,-1,0.001026082900352776,2.5782008378882892e-05
00321_13#00321_13_11,00321,00321_13,00321_13_11,Human reproductive cloning should be banned and punishments should be leveled against it.,Reproductive cloning harms the integrity of the family:,1,8.586338663008064e-05,5.9410005633253604e-05
00321_13#00321_13_6,00321,00321_13,00321_13_6,Human reproductive cloning should be banned and punishments should be leveled against it.,Cloning-reproduction would never compete with sex-reproduction,-1,8.247410733019933e-05,0.00014782203652430326
00388_6#00388_6_2,00388,00388_6,00388_6_2,The United States should lower its drinking age from 21 to 18.,Safer roads with 21 drinking laws outweighs all trade-offs,-1,9.154264989774674e-05,5.28899508935865e-05
00656_6#00656_6_2,00656,00656_6,00656_6_2,We should ban the keeping of animals in zoos.,The main purpose of zoos is to entertain the public and make money.,1,9.96862436295487e-05,0.00015688143321312964
00800_5#00800_5_10,00800,00800_5,00800_5_10,The US federal government should increase the minimum wage.,"NYTimes Editorial ""A Fair Days Pay"", 1/3/06",1,8.166908810380846e-05,0.00010790750093292445
00872_3#00872_3_4,00872,00872_3,00872_3_4,It is fair to issue parking fines to people who park their car longer than the allocated time.,People are aware of the laws.,1,0.00012937490828335285,1.3860356375516858e-05
01049_3#01049_3_1,01049,01049_3,01049_3_1,Japans constitution should be amended to allow her a normal military role in world affairs.,Japans people oppose militarism.,-1,0.00017415745242033154,8.976287062978372e-05
00042_11#00042_11_11,00042,00042_11,00042_11_11,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",Coalition troops in Iraq fuel anti-Americanism and terrorism globally,1,7.891490531619638e-05,0.00011062628618674353
00042_11#00042_11_14,00042,00042_11,00042_11_14,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The Iraq War has distracted attention away from the War on Terror,1,0.00010446472879266366,1.8369544704910368e-05
00042_11#00042_11_5,00042,00042_11,00042_11_5,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",Iraqi Sunnis would mainly oppose Al Qaeda after the US leaves,1,0.0006350565818138421,0.0005197409191168845
00042_12#00042_12_3,00042,00042_12,00042_12_3,"Troops should be withdrawn from Iraq as immediately, and before conditions permit.",The US should withdraw immediately to respect the will of Iraqis,1,0.0003313677152618766,2.5669132810435258e-05
00100_2#00100_2_2,00100,00100_2,00100_2_2,Flag burning as a form of protest should be prohibited.,Flag burning laws should be subject to state-level public opinion and will.,1,0.00014230258238967508,3.076951907132752e-05
00102_3#00102_3_2,00102,00102_3,00102_3_2,Bosnia and Herzegovina should continue under the Dayton Agreement rather than change/abandon it.,Centralized power is not viable in Bosnia and Herzegovina.,1,0.0003473023243714124,3.7867313949391246e-05
00102_3#00102_3_4,00102,00102_3,00102_3_4,Bosnia and Herzegovina should continue under the Dayton Agreement rather than change/abandon it.,Unifying ethnic factions in Bosnia is unrealistic,-1,0.0002967125619761646,1.5167659512371756e-05
00125_12#00125_12_3,00125,00125_12,00125_12_3,Tidal energy should be a major part of plans to fight global warming.,Tidal barages produce more energy than other forms of tidal.,1,0.0003550674591679126,5.0867391109932214e-05
00799_8#00799_8_1,00799,00799_8,00799_8_1,The No Child Left Behind education law in America is a good policy and worth continuing.,"NCLB damages teacher morale, future of profession",-1,0.00029508586158044636,1.7575983292772435e-05
00799_8#00799_8_17,00799,00799_8,00799_8_17,The No Child Left Behind education law in America is a good policy and worth continuing.,NCLB sets overly restrictive qualifications for teaching.,-1,4.244539377395995e-05,4.038157931063324e-05
00799_8#00799_8_6,00799,00799_8,00799_8_6,The No Child Left Behind education law in America is a good policy and worth continuing.,No Child Left Behind does nothing to improve teachers,-1,7.326241757255048e-05,5.866675201104954e-05
00804_2#00804_2_1,00804,00804_2,00804_2_1,"""Clean coal"" should be a major part of plans to fight global warming.",By-products of coal can be captured and used,1,0.0009432718507014215,9.763002890395e-05
00804_2#00804_2_4,00804,00804_2,00804_2_4,"""Clean coal"" should be a major part of plans to fight global warming.",Clean coal wastes more water than ordinary coal factories,-1,0.00017574743833392859,3.7988225813023746e-05
00804_2#00804_2_8,00804,00804_2,00804_2_8,"""Clean coal"" should be a major part of plans to fight global warming.",Environmental hazards of clean coal waste can be contained.,1,0.0005722672794945538,0.00010850837861653417
00843_2#00843_2_1,00843,00843_2,00843_2_1,"Coca leaf growth, product-development, and chewing should be legal.","Coca chewing pre-dates cocaine, shouldn""t bundled.",1,6.697448407066986e-05,8.033719495870173e-05
01146_2#01146_2_6,01146,01146_2,01146_2_6,Military action should be taken against nuclear Iran.,Iran faces lots of technical problems and mistakes which will slow down any nuclear weapons program.,-1,0.0006709222216159105,2.9910173907410353e-05
00168_5#00168_5_14,00168,00168_5,00168_5_14,"Coca leaf growth, product-development, and chewing should be legal.",Coca is narcotic because cocaine can be readily extracted.,-1,0.00014448378351517022,9.109054371947423e-05
00843_2#00843_2_5,00843,00843_2,00843_2_5,"Coca leaf growth, product-development, and chewing should be legal.",Coca chewing and use are inviolable Andean traditions,1,5.5453103414038196e-05,4.4053409510524943e-05
00843_2#00843_2_9,00843,00843_2,00843_2_9,"Coca leaf growth, product-development, and chewing should be legal.",Coca chewing in the Andes is like coffee in the West.,1,0.0006798249669373035,5.584863538388163e-05
00848_3#00848_3_1,00848,00848_3,00848_3_1,The international community should interfere in domestic affairs at times of humanitarian crises.,Abuse of humanitarian intervention does not disqualify it.,1,0.0012639263877645135,5.3174764616414905e-05
01179_6#01179_6_5,01179,01179_6,01179_6_5,Abortions of any kind should be permitted.,"Abortion advocates wrongly value ""quality of life"" over ""sanctity of life""",-1,8.01323913037777e-05,9.816387319006026e-05
01266_3#01266_3_2,01266,01266_3,01266_3_2,EU federalization is a good idea. The EU should become the United States of Europe.,International cooperation is sometimes of greater importance.,1,0.0004561444220598787,0.0003439281426835805
01266_3#01266_3_5,01266,01266_3,01266_3_5,EU federalization is a good idea. The EU should become the United States of Europe.,Enlargement is too far already.,1,0.00010191486217081547,8.575637184549123e-05
00062_2#00062_2_2,00062,00062_2,00062_2_2,Countries should change their official currency to the U.S. dollar.,Dollarization is a band-aid approach to poor economic policy,-1,4.652700954466127e-05,3.402074071345851e-05
00062_2#00062_2_6,00062,00062_2,00062_2_6,Countries should change their official currency to the U.S. dollar.,"Dollarization works best for small, interdependent nations",1,8.992726361611858e-05,2.4841303456923924e-05
00495_1#00495_1_11,00495,00495_1,00495_1_11,Child beauty pageants are tolerable and should not be banned.,"Despite outliers, the average beauty pageant is tame.",1,0.00029188740882091224,0.00017283236957155168
00495_1#00495_1_18,00495,00495_1,00495_1_18,Child beauty pageants are tolerable and should not be banned.,"Child beauty pageants are just creepy, insidious.",-1,8.508733299095184e-05,9.17704455787316e-05
00495_1#00495_1_2,00495,00495_1,00495_1_2,Child beauty pageants are tolerable and should not be banned.,Pageants based on bad idea of children being better than others,-1,0.00022280150733422488,0.00034917707671411335
00495_1#00495_1_22,00495,00495_1,00495_1_22,Child beauty pageants are tolerable and should not be banned.,Toddlers and tiaras reveals how beauty pageants exploit kids,-1,0.0002711525303311646,0.00010976698104059324
00549_6#00549_6_7,00549,00549_6,00549_6_7,The United Kingdom should hand over the Falkland Islands to Argentina.,Venezuelan President Hugo Chavez supports Argentinas claim to the Malvinas.,1,0.00018127656949218363,7.962044037412852e-05
